ENERGY, 1481.805511 joules, 1496062718 ms, plat.node0
ENERGY, 1488.113892 joules, 1496062818 ms, plat
ENERGY, 1488.113892 joules, 1496062818 ms, plat.node0
ENERGY, 1494.452911 joules, 1496062919 ms, plat
ENERGY, 1494.452911 joules, 1496062919 ms, plat.node0
ENERGY, 1500.812469 joules, 1496063019 ms, plat
ENERGY, 1500.812469 joules, 1496063019 ms, plat.node0
ENERGY, 1507.193176 joules, 1496063119 ms, plat
ENERGY, 1507.193176 joules, 1496063119 ms, plat.node0
ENERGY, 1513.569611 joules, 1496063219 ms, plat
ENERGY, 1513.569611 joules, 1496063219 ms, plat.node0
ENERGY, 1519.871460 joules, 1496063319 ms, plat
ENERGY, 1519.871460 joules, 1496063319 ms, plat.node0
ENERGY, 1526.244293 joules, 1496063419 ms, plat
ENERGY, 1526.244293 joules, 1496063419 ms, plat.node0
ENERGY, 1532.619324 joules, 1496063519 ms, plat
ENERGY, 1532.619324 joules, 1496063519 ms, plat.node0
ENERGY, 1539.005524 joules, 1496063619 ms, plat
ENERGY, 1539.005524 joules, 1496063619 ms, plat.node0
ENERGY, 1545.396912 joules, 1496063720 ms, plat
